filename,width,height,class,xmin,ymin,xmax,ymax
Green-Apple_018.jpg,800,600,green apple,109,471,311,600
Green-Apple_018.jpg,800,600,green apple,1,482,123,600
Green-Apple_018.jpg,800,600,green apple,312,458,490,600
Green-Apple_018.jpg,800,600,green apple,475,460,715,600
Green-Apple_018.jpg,800,600,green apple,696,445,800,599
Green-Apple_018.jpg,800,600,green apple,108,365,281,482
Green-Apple_018.jpg,800,600,green apple,16,446,157,491
Green-Apple_018.jpg,800,600,green apple,406,345,596,482
Green-Apple_018.jpg,800,600,green apple,108,240,284,376
Green-Apple_018.jpg,800,600,green apple,1,301,126,440
Green-Apple_018.jpg,800,600,green apple,246,312,423,447
Green-Apple_018.jpg,800,600,green apple,3,216,154,312
Green-Apple_018.jpg,800,600,green apple,181,141,348,262
Green-Apple_018.jpg,800,600,green apple,21,125,159,221
Green-Apple_018.jpg,800,600,green apple,571,422,697,501
Green-Apple_018.jpg,800,600,green apple,660,359,800,482
Green-Apple_018.jpg,800,600,green apple,557,266,767,399
Green-Apple_018.jpg,800,600,green apple,361,228,524,351
Green-Apple_018.jpg,800,600,green apple,514,222,656,339
Green-Apple_018.jpg,800,600,green apple,475,319,566,364
Green-Apple_018.jpg,800,600,green apple,315,246,381,321
Green-Apple_018.jpg,800,600,green apple,1,11,133,136
Green-Apple_018.jpg,800,600,green apple,82,56,259,177
Green-Apple_018.jpg,800,600,green apple,321,173,395,256
Green-Apple_018.jpg,800,600,green apple,402,180,526,261
Green-Apple_018.jpg,800,600,green apple,186,1,336,98
Green-Apple_018.jpg,800,600,green apple,266,52,423,183
Green-Apple_018.jpg,800,600,green apple,381,93,490,193
Green-Apple_018.jpg,800,600,green apple,481,106,646,228
Green-Apple_018.jpg,800,600,green apple,627,141,799,286
Green-Apple_018.jpg,800,600,green apple,329,1,472,75
Green-Apple_018.jpg,800,600,green apple,453,5,605,123
Green-Apple_018.jpg,800,600,green apple,628,46,796,162
Green-Apple_018.jpg,800,600,green apple,592,2,760,70
Green-Apple_018.jpg,800,600,green apple,130,173,191,255
2Orange_009.jpg,800,600,orange,112,270,273,350
2Orange_009.jpg,800,600,orange,113,343,299,469
2Orange_009.jpg,800,600,orange,360,338,507,444
2Orange_009.jpg,800,600,orange,380,449,529,559
2Orange_009.jpg,800,600,orange,273,474,416,572
2Orange_009.jpg,800,600,orange,494,433,633,532
2Orange_009.jpg,800,600,orange,496,329,610,436
2Orange_009.jpg,800,600,orange,619,343,759,450
2Orange_009.jpg,800,600,orange,672,463,800,581
2Orange_009.jpg,800,600,orange,570,275,713,365
2Orange_009.jpg,800,600,orange,693,272,800,373
2Orange_009.jpg,800,600,orange,587,178,713,282
2Orange_009.jpg,800,600,orange,466,177,605,280
2Orange_009.jpg,800,600,orange,400,240,557,355
2Orange_009.jpg,800,600,orange,262,215,394,300
2Orange_009.jpg,800,600,orange,244,283,413,394
2Orange_009.jpg,800,600,orange,308,145,425,230
2Orange_009.jpg,800,600,orange,407,124,536,222
2Orange_009.jpg,800,600,orange,539,121,650,215
2Orange_009.jpg,800,600,orange,624,123,745,209
2Orange_009.jpg,800,600,orange,729,219,800,295
2Orange_009.jpg,800,600,orange,379,215,494,287
2Orange_009.jpg,800,600,orange,479,16,586,86
2Orange_009.jpg,800,600,orange,375,15,483,91
2Orange_009.jpg,800,600,orange,589,8,666,70
Green-Apple_002.jpg,800,600,green apple,379,473,551,596
Green-Apple_002.jpg,800,600,green apple,438,283,581,388
Green-Apple_002.jpg,800,600,green apple,554,206,686,305
Green-Apple_002.jpg,800,600,green apple,592,478,797,600
Green-Apple_002.jpg,800,600,green apple,628,356,776,454
Green-Apple_002.jpg,800,600,green apple,596,40,694,122
Green-Apple_002.jpg,800,600,green apple,619,150,750,240
Green-Apple_002.jpg,800,600,green apple,342,341,468,439
Green-Apple_002.jpg,800,600,green apple,424,408,569,504
Green-Apple_002.jpg,800,600,green apple,342,218,468,313
Green-Apple_002.jpg,800,600,green apple,339,434,440,525
Green-Apple_002.jpg,800,600,green apple,531,500,626,600
Green-Apple_002.jpg,800,600,green apple,559,417,722,512
Green-Apple_002.jpg,800,600,green apple,547,375,642,451
Green-Apple_002.jpg,800,600,green apple,713,429,800,526
Green-Apple_002.jpg,800,600,green apple,569,298,700,375
Green-Apple_002.jpg,800,600,green apple,666,279,797,371
Green-Apple_002.jpg,800,600,green apple,444,239,512,299
Green-Apple_002.jpg,800,600,green apple,554,90,638,153
Green-Apple_002.jpg,800,600,green apple,720,13,800,86
Green-Apple_002.jpg,800,600,green apple,704,85,779,136
Green-Apple_002.jpg,800,600,green apple,740,94,800,149
Green-Apple_002.jpg,800,600,green apple,724,145,800,198
Green-Apple_002.jpg,800,600,green apple,707,191,800,276
Green-Apple_002.jpg,800,600,green apple,339,308,444,353
Green-Apple_002.jpg,800,600,green apple,544,10,624,82
Green-Apple_002.jpg,800,600,green apple,586,134,676,191
Green-Apple_002.jpg,800,600,green apple,679,127,749,159
Green-Apple_002.jpg,800,600,green apple,628,14,719,71
Green-Apple_002.jpg,800,600,green apple,668,1,756,38
Green-Apple_002.jpg,800,600,green apple,500,32,576,100
Green-Apple_002.jpg,800,600,green apple,526,144,582,182
Green-Apple_002.jpg,800,600,green apple,512,241,585,307
Green-Apple_002.jpg,800,600,green apple,763,367,800,427
Green-Apple_002.jpg,800,600,green apple,514,101,566,176
Green-Apple_017.jpg,800,600,green apple,285,211,641,488
Green-Apple_003.jpg,800,600,green apple,584,460,729,556
Green-Apple_003.jpg,800,600,green apple,410,444,563,556
Green-Apple_003.jpg,800,600,green apple,502,435,590,535
Green-Apple_003.jpg,800,600,green apple,342,421,457,518
Green-Apple_003.jpg,800,600,green apple,219,403,342,500
Green-Apple_003.jpg,800,600,green apple,96,384,255,486
Green-Apple_003.jpg,800,600,green apple,541,370,683,461
Green-Apple_003.jpg,800,600,green apple,454,326,597,424
Green-Apple_003.jpg,800,600,green apple,345,328,466,425
Green-Apple_003.jpg,800,600,green apple,165,317,293,405
Green-Apple_003.jpg,800,600,green apple,255,271,382,363
Green-Apple_003.jpg,800,600,green apple,372,297,451,340
Green-Apple_003.jpg,800,600,green apple,144,231,272,317
Green-Apple_003.jpg,800,600,green apple,265,197,391,273
Green-Apple_003.jpg,800,600,green apple,629,297,767,396
Green-Apple_003.jpg,800,600,green apple,676,401,709,450
Green-Apple_003.jpg,800,600,green apple,504,253,637,345
Green-Apple_003.jpg,800,600,green apple,442,269,520,348
Green-Apple_003.jpg,800,600,green apple,368,227,463,296
Green-Apple_003.jpg,800,600,green apple,157,138,277,234
Green-Apple_003.jpg,800,600,green apple,273,110,397,197
Green-Apple_003.jpg,800,600,green apple,378,133,491,229
Green-Apple_003.jpg,800,600,green apple,458,194,567,270
Green-Apple_003.jpg,800,600,green apple,566,162,694,263
Green-Apple_003.jpg,800,600,green apple,677,204,799,310
Green-Apple_003.jpg,800,600,green apple,481,117,581,196
Green-Apple_003.jpg,800,600,green apple,678,118,800,207
Green-Apple_003.jpg,800,600,green apple,572,84,687,165
Green-Apple_003.jpg,800,600,green apple,173,49,300,143
Green-Apple_003.jpg,800,600,green apple,247,1,374,69
Green-Apple_003.jpg,800,600,green apple,335,10,433,94
Green-Apple_003.jpg,800,600,green apple,429,1,528,60
Green-Apple_003.jpg,800,600,green apple,401,57,506,139
Green-Apple_003.jpg,800,600,green apple,495,32,606,118
Green-Apple_003.jpg,800,600,green apple,653,21,800,126
Green-Apple_003.jpg,800,600,green apple,531,1,627,35
Green-Apple_003.jpg,800,600,green apple,599,1,702,82
Green-Apple_003.jpg,800,600,green apple,691,1,800,27
2Orange_005.jpg,800,600,orange,146,350,283,447
2Orange_005.jpg,800,600,orange,23,283,151,354
2Orange_005.jpg,800,600,orange,96,245,204,315
2Orange_005.jpg,800,600,orange,153,230,247,281
2Orange_005.jpg,800,600,orange,180,173,258,242
2Orange_005.jpg,800,600,orange,238,208,311,254
2Orange_005.jpg,800,600,orange,286,179,366,237
2Orange_005.jpg,800,600,orange,243,246,347,305
2Orange_005.jpg,800,600,orange,171,278,276,337
2Orange_005.jpg,800,600,orange,1,377,112,445
2Orange_005.jpg,800,600,orange,289,342,378,429
2Orange_005.jpg,800,600,orange,454,252,555,321
2Orange_005.jpg,800,600,orange,429,202,520,263
2Orange_005.jpg,800,600,orange,413,171,483,219
2Orange_005.jpg,800,600,orange,378,143,459,200
2Orange_005.jpg,800,600,orange,366,95,447,158
2Orange_005.jpg,800,600,orange,505,396,628,485
2Orange_005.jpg,800,600,orange,396,356,506,446
2Orange_005.jpg,800,600,orange,233,423,361,518
2Orange_005.jpg,800,600,orange,108,423,211,499
2Orange_005.jpg,800,600,orange,173,463,295,556
2Orange_005.jpg,800,600,orange,1,443,87,546
2Orange_005.jpg,800,600,orange,1,475,159,590
2Orange_005.jpg,800,600,orange,1,181,111,249
2Orange_005.jpg,800,600,orange,95,166,172,224
2Orange_005.jpg,800,600,orange,72,202,162,260
2Orange_005.jpg,800,600,orange,1,233,114,305
2Orange_005.jpg,800,600,orange,457,308,560,384
2Orange_005.jpg,800,600,orange,438,429,534,524
2Orange_011.jpg,800,600,orange,510,360,651,449
2Orange_011.jpg,800,600,orange,421,357,534,432
2Orange_011.jpg,800,600,orange,467,306,595,380
2Orange_011.jpg,800,600,orange,600,474,768,585
2Orange_011.jpg,800,600,orange,479,233,622,303
2Orange_011.jpg,800,600,orange,564,281,713,356
2Orange_011.jpg,800,600,orange,630,331,768,413
2Orange_011.jpg,800,600,orange,658,417,800,518
2Orange_011.jpg,800,600,orange,394,460,553,558
2Orange_011.jpg,800,600,orange,474,427,622,524
2Orange_011.jpg,800,600,orange,314,409,472,486
2Orange_011.jpg,800,600,orange,245,470,411,550
2Orange_011.jpg,800,600,orange,129,438,292,527
2Orange_011.jpg,800,600,orange,182,375,312,460
2Orange_011.jpg,800,600,orange,325,295,463,378
2Orange_011.jpg,800,600,orange,370,241,501,311
2Orange_011.jpg,800,600,orange,398,188,526,260
2Orange_011.jpg,800,600,orange,521,182,639,244
2Orange_011.jpg,800,600,orange,612,154,733,221
2Orange_011.jpg,800,600,orange,662,208,800,284
2Orange_011.jpg,800,600,orange,698,277,800,348
2Orange_011.jpg,800,600,orange,710,136,800,210
2Orange_011.jpg,800,600,orange,604,95,713,163
2Orange_011.jpg,800,600,orange,500,140,632,194
2Orange_011.jpg,800,600,orange,369,98,486,173
2Orange_011.jpg,800,600,orange,289,121,400,190
2Orange_011.jpg,800,600,orange,278,188,398,268
2Orange_011.jpg,800,600,orange,193,245,333,311
2Orange_011.jpg,800,600,orange,229,299,347,369
2Orange_011.jpg,800,600,orange,114,336,247,410
2Orange_011.jpg,800,600,orange,1,335,112,398
2Orange_011.jpg,800,600,orange,34,286,166,350
2Orange_011.jpg,800,600,orange,46,215,175,278
2Orange_011.jpg,800,600,orange,179,131,296,198
2Orange_011.jpg,800,600,orange,217,186,323,257
2Orange_011.jpg,800,600,orange,248,45,349,105
2Orange_011.jpg,800,600,orange,258,3,358,37
2Orange_011.jpg,800,600,orange,305,8,401,66
2Orange_011.jpg,800,600,orange,423,32,526,106
2Orange_011.jpg,800,600,orange,497,70,617,141
2Orange_011.jpg,800,600,orange,623,48,734,102
2Orange_011.jpg,800,600,orange,520,20,631,83
2Orange_011.jpg,800,600,orange,739,69,800,139
2Orange_011.jpg,800,600,orange,612,1,729,43
2Orange_011.jpg,800,600,orange,42,143,148,190
2Orange_011.jpg,800,600,orange,68,47,194,108
2Orange_011.jpg,800,600,orange,106,94,188,158
2Orange_011.jpg,800,600,orange,23,88,123,148
2Orange_011.jpg,800,600,orange,1,179,95,249
2Orange_011.jpg,800,600,orange,1,239,59,306
2Orange_007.jpg,800,600,orange,126,167,294,293
2Orange_007.jpg,800,600,orange,182,354,333,467
2Orange_007.jpg,800,600,orange,375,277,521,380
2Orange_007.jpg,800,600,orange,367,185,496,275
2Orange_007.jpg,800,600,orange,275,294,398,385
2Orange_007.jpg,800,600,orange,332,357,470,473
2Orange_007.jpg,800,600,orange,259,449,400,560
2Orange_007.jpg,800,600,orange,492,444,664,571
2Orange_007.jpg,800,600,orange,457,345,605,449
2Orange_007.jpg,800,600,orange,648,266,800,378
2Orange_007.jpg,800,600,orange,603,185,760,287
2Orange_007.jpg,800,600,orange,696,116,800,217
2Orange_007.jpg,800,600,orange,560,103,703,196
2Orange_007.jpg,800,600,orange,491,159,621,256
2Orange_007.jpg,800,600,orange,481,249,603,354
2Orange_007.jpg,800,600,orange,606,340,716,442
2Orange_007.jpg,800,600,orange,603,502,794,600
2Orange_007.jpg,800,600,orange,275,560,444,600
2Orange_007.jpg,800,600,orange,396,433,528,542
2Orange_007.jpg,800,600,orange,116,67,266,197
2Orange_007.jpg,800,600,orange,236,120,407,236
2Orange_007.jpg,800,600,orange,260,48,382,140
2Orange_007.jpg,800,600,orange,288,1,423,66
2Orange_007.jpg,800,600,orange,467,5,598,107
2Orange_007.jpg,800,600,orange,412,90,543,190
2Orange_007.jpg,800,600,orange,586,15,739,118
2Orange_007.jpg,800,600,orange,716,36,800,132
2Orange_007.jpg,800,600,orange,742,374,800,433
Green-Apple_004.jpg,800,600,green apple,12,115,194,241
Green-Apple_004.jpg,800,600,green apple,183,101,341,217
Green-Apple_004.jpg,800,600,green apple,370,93,504,205
Green-Apple_004.jpg,800,600,green apple,481,73,612,184
Green-Apple_004.jpg,800,600,green apple,600,40,736,149
Green-Apple_004.jpg,800,600,green apple,69,21,230,138
Green-Apple_004.jpg,800,600,green apple,1,15,72,147
Green-Apple_004.jpg,800,600,green apple,1,167,31,258
Green-Apple_004.jpg,800,600,green apple,222,2,376,107
Green-Apple_004.jpg,800,600,green apple,345,1,466,97
Green-Apple_004.jpg,800,600,green apple,53,1,208,49
Green-Apple_004.jpg,800,600,green apple,454,1,586,79
Green-Apple_004.jpg,800,600,green apple,561,1,625,85
Green-Apple_004.jpg,800,600,green apple,605,1,744,43
Green-Apple_004.jpg,800,600,green apple,291,122,379,229
Green-Apple_004.jpg,800,600,green apple,700,30,798,139
Green-Apple_004.jpg,800,600,green apple,706,1,757,36
Green-Apple_004.jpg,800,600,green apple,142,197,240,259
